French;Finnish;Hungarian
Où est-ce qu'il est ?;Missä hän on? (Est-ce que -KYSYMYS);Hol van ő? (Est-ce que -KÉRDÉS)
Qu'est-ce qu'il dit ?;Mitä hän sanoo? (Est-ce que -KYSYMYS);Mit mond ő? (Est-ce que -KÉRDÉS)
Comment est-ce qu'on fait ?;Miten tehdään? (Est-ce que -KYSYMYS);Hogyan csináljuk? (Est-ce que -KÉRDÉS)
Quel jour est-ce que Marc va ?;Minä päivänä Marc menee? (Est-ce que -KYSYMYS);Melyik napon megy Marc? (Est-ce que -KÉRDÉS)
Parlez-vous français ?;Puhutteko ranskaa? (KÄÄNTEINEN SANAJÄRJESTYS);Beszél franciául? (FORDÍTOTT SZÓREND)
Aimes-tu le chocolat ?;Pidätkö suklaasta? (KÄÄNTEINEN SANAJÄRJESTYS);Szereted a csokoládét? (FORDÍTOTT SZÓREND)
Est-il ici ?;Onko hän täällä? (KÄÄNTEINEN SANAJÄRJESTYS);Ő itt van? (FORDÍTOTT SZÓREND)
Bastien est-il ici ?;Onko Bastien täällä? (KÄÄNTEINEN SANAJÄRJESTYS);Bastien itt van? (FORDÍTOTT SZÓREND)
Caroline aime-t-elle Bastien ?;Rakastaako Caroline Bastienia? (KÄÄNTEINEN SANAJÄRJESTYS);Caroline szereti Bastient? (FORDÍTOTT SZÓREND)
À quelle heure est-ce ?;Moneltako se on? (KÄÄNTEINEN SANAJÄRJESTYS);Hány órakor van? (FORDÍTOTT SZÓREND)
Où est-il ?;Missä hän on? (KÄÄNTEINEN SANAJÄRJESTYS);Hol van ő? (FORDÍTOTT SZÓREND)
Que dit-il ?;Mitä hän sanoo? (KÄÄNTEINEN SANAJÄRJESTYS);Mit mond ő? (FORDÍTOTT SZÓREND)
Comment fait-on ?;Miten tehdään? (KÄÄNTEINEN SANAJÄRJESTYS);Hogyan csináljuk? (FORDÍTOTT SZÓREND)
Quel jour Marc va-t-il ?;Minä päivänä Marc menee? (KÄÄNTEINEN SANAJÄRJESTYS);Melyik napon megy Marc? (FORDÍTOTT SZÓREND)
Combien coûte ce sac ?;Kuinka paljon tämä laukku maksaa? (INTONAATIOKYSYMYS);Mennyibe kerül ez a táska? (INTONÁCIÓS KÉRDÉS)
Comment va ton ami ?;Miten ystäväsi voi? (INTONAATIOKYSYMYS);Hogy van a barátod? (INTONÁCIÓS KÉRDÉS)
Où sont mes clés ?;Missä avaimeni ovat? (INTONAATIOKYSYMYS);Hol vannak a kulcsaim? (INTONÁCIÓS KÉRDÉS)
Que fait Miro ?;Mitä Miro tekee? (INTONAATIOKYSYMYS);Mit csinál Miro? (INTONÁCIÓS KÉRDÉS)
Quand vient Marie ?;Milloin Marie tulee? (INTONAATIOKYSYMYS);Mikor jön Marie? (INTONÁCIÓS KÉRDÉS)
Sophie est française.;Sophie on ranskalainen.;Sophie francia lány (lány).
Sophie est française ?;Onko Sophie ranskalainen? (INTONAATIOKYSYMYS);Sophie francia lány? (INTONÁCIÓS KÉRDÉS)
Est-ce que Sophie est française ?;Onko Sophie ranskalainen? (Est-ce que -KYSYMYS);Sophie francia lány? (Est-ce que -KÉRDÉS)
Est-ce qu'on parle français en Finlande ?;Puhutaanko Suomessa ranskaa? (Est-ce que -KYSYMYS);Beszélnek Franciaországban franciául? (Est-ce que -KÉRDÉS)
Tu n'aimes pas le chocolat ?;Etkö pidä suklaasta? (INTONAATIOKYSYMYS);Nem szereted a csokoládét? (INTONÁCIÓS KÉRDÉS)
Est-ce que tu n'aimes pas le chocolat ?;Etkö pidä suklaasta? (Est-ce que -KYSYMYS);Nem szereted a csokoládét? (Est-ce que -KÉRDÉS)
Si, j'aime le chocolat.;Kyllä, pidän suklaasta.;De igen, szeretem a csokoládét.
Non, je n'aime pas le chocolat.;Ei, en pidä suklaasta.;Nem, nem szeretem a csokoládét.
